linha,natureza,fase_ordem,fase,decisao_evento,ator_responsavel,sistema_canal,fonte_recurso,tabela_dado,papel_do_dado,chave_integracao_candidata,disponibilidade_verificada,confianca,lacuna_observacao
MCMV Cidades,financiada com aporte público,2,Decisão local,Define público e aprova contrapartida/terreno,Executivo e Legislativo local,Lei e atos locais,"Tesouro local, terreno público ou emenda",—,Marco decisório político local,CNPJ/IBGE do ente; lei,lacuna,alta,Legislação autorizativa municipal/estadual não está no acervo federal mapeado.
MCMV Cidades,financiada com aporte público,3,Emenda/aporte,Vincula emenda ao benefício habitacional,Parlamentar / ente / MCID,Orçamento federal,OGU por emenda,orcamento_resultado_emendas | dados_abertos_orcamento_emendas_parlamentares_2024,Emenda e execução orçamentária,numero_da_emenda/codigo_da_emenda,tabelas lógicas citadas; objeto raw individual não confirmado,media,
MCMV Cidades,financiada com aporte público,4,Seleção,Ente indica público elegível ao aporte,Ente público,Processo local + Caixa,Aporte complementar,novo_mcmv_cidades_emendas,UH/benefício contratado via emenda,numero_do_contrato; numero_da_emenda,tabela lógica citada; 107 snapshots MCMV_CIDADES_EMENDAS confirmados no SFTP,alta,
MCMV Cidades,financiada com aporte público,5,Crédito,Caixa cruza benefício local com capacidade de pagamento,Caixa,SIOPI/sistemas Caixa,FGTS + aporte público,fgts_canal_tab_ao_1_operacoes_pj_pf,Operação financiada,cod_contrato; CPF,tabela lógica citada; objeto raw não confirmado,media,
MCMV Cidades,financiada com aporte público,6,Contratação,Formaliza contrato e aplica contrapartida,Caixa / família / ente,Canal FGTS,FGTS + emenda/contrapartida/terreno,dados_abertos_orcamento_uh_emendas_parlamentares | fgts_canal_tab_ao_1_contratos_fgts,Valor de contrapartida e contrato,cod_contrato; codigo_da_emenda,tabelas lógicas citadas; snapshots SFTP confirmados,alta,
MCMV Cidades,financiada com aporte público,7,Execução e entrega,"Desembolsa, acompanha obra e entrega",Caixa / construtora / ente,Canal FGTS,FGTS + aporte público,fgts_canal_tab_ao_2_tab_desembolsos_fgts | fgts_canal_tab_ao_2_tab_execucoes_obras | fgts_canal_tab_ao_3_acompanhamento_termino_obra,"Desembolso, posição e entrega",cod_contrato; cod_empreendimento,tabelas lógicas citadas; objetos raw não confirmados,media,
Pró-Moradia,financiamento ao setor público,1,Regulamentação,CCFGTS/MCID definem modalidades e condições,CCFGTS / MCID,Normativos Pró-Moradia,FGTS,tpc_2024_fgts_canal_tab_dbo_pc_2024_02_orcamento_final,Limite macro do FGTS,programa; exercício; região,tabela lógica citada; objeto raw não confirmado,media,
Pró-Moradia,financiamento ao setor público,2,Carta-consulta,"Ente preenche projeto, engenharia e resumo financeiro",Estado / município / DF,Planilha SeleHab / correio institucional,FGTS + contrapartida mínima do ente,Carta-consulta por modalidade (documento),Origem da proposta e orçamento calculado,identificador carta-consulta; CNPJ; IBGE,arquivos/documentos citados; estrutura a inventariar,media,"O orçamento automático é fórmula da planilha bloqueada, não uma tabela transacional."
Pró-Moradia,financiamento ao setor público,3,Validação,"Verifica faixa, contrapartida, limites e vedações",Caixa / MCID,Análise técnica,"FGTS + >=5% ente, conforme modalidade/regra",fgts_canal_tdom_ao_1_justificativa_de_obra,Domínio/justificativa de exceções,cod_justificativa; cod_empreendimento,tabela lógica citada; objeto raw não confirmado,media,
Pró-Moradia,financiamento ao setor público,4,Contratação,Assina financiamento com ente público,Agente financeiro / ente,Canal FGTS,FGTS,fgts_site_contratacao_diaria | fgts_canal_tab_ao_1_contratos_fgts,Contrato e contratação diária,cod_contrato; CNPJ do tomador,tabelas lógicas citadas; objeto raw não confirmado,alta,
Pró-Moradia,financiamento ao setor público,5,Empreendimento,"Identifica obra, construtor, localização e modalidade",Ente / agente financeiro,Canal FGTS,FGTS + contrapartida,fgts_canal_tab_ao_1_tab_empreendimentos | fgts_canal_tab_ao_1_tab_empreendimentos_construtor | dados_prioritarios_disponibilizados_snh_empreendimentos,Cadastro do empreendimento,cod_empreendimento; cod_contrato,um objeto histórico tab_empreendimentos confirmado; demais nomes lógicos não confirmados,alta,
Pró-Moradia,financiamento ao setor público,6,Acompanhamento,"Registra percentual, desembolso, situação e justificativa",Caixa / ente / MCID,Canal FGTS / SFTP,FGTS,fgts_canal_tab_ao_1_tab_empreendimentos_posicoes | fgts_sftp_empreendimentos_base_pj | fgts_canal_tab_ao_2_tab_desembolsos_fgts,Snapshot físico-financeiro,cod_empreendimento; cod_contrato; data_posicao,tabelas lógicas citadas; objetos raw individuais não confirmados,alta,A PK deve ser testada; provável chave composta empreendimento/contrato/data de posição.
Pró-Moradia,financiamento ao setor público,7,Beneficiários,Seleciona famílias antes de 50% da obra quando a modalidade prevê UH/lote,Ente público,Cadastro local / mecanismos definidos em norma,Não altera a fonte do financiamento,—,Lista de famílias,CPF/NIS + empreendimento,lacuna,media,Não foi identificada tabela federal estruturada específica da seleção Pró-Moradia.
Classe Média,financiada,1,Regra financeira,"Define renda, condições, funding e limites",MCID / CCFGTS / agente financeiro,Normativos; orçamento FGTS,FGTS + recursos da instituição financeira,tpc_2024_fgts_canal_tab_dbo_pc_2024_02_orcamento_final | tpc_2024_fgts_canal_tdom_faixa_renda,Orçamento e faixa,programa; exercício; faixa; vigência,tabelas lógicas citadas; objetos raw não confirmados,media,Validar no normativo vigente a proporção exata de funding; não fixar 50/50 só pela nota.
Classe Média,financiada,2,Proposta,"Família simula, escolhe imóvel e envia documentos",Família / Caixa,SIOPI,Crédito habitacional,tpc_2024_fgts_canal_tab_dbo_pc_2024_01_financiamento_pf_pj,Proposta/financiamento PF,CPF; cod_proposta/cod_contrato,tabela lógica citada; objeto raw não confirmado,media,
Classe Média,financiada,3,Enquadramento,Verifica renda e compatibilidade da faixa,Caixa,SIOPI,FGTS + funding do agente,fgts_sftp_empreendimentos_base_pj,Compatibilidade de faixa e assinatura,cod_contrato; cod_empreendimento,tabela lógica citada; objeto raw individual não confirmado,alta,Confirmar coluna txt_compatibilidade_faixa_renda em amostra real.
Classe Média,financiada,4,Crédito e engenharia,Analisa capacidade e avalia imóvel/obra,Caixa / engenharia,SIOPI,Crédito,fgts_canal_tab_ao_1_operacoes_pj_pf,Operação e vínculo PF/PJ,cod_contrato; cod_empreendimento,tabela lógica citada; objeto raw não confirmado,media,
Classe Média,financiada,5,Contrato e registro,Assina e registra contrato,Família / vendedor/construtora / Caixa / cartório,Sistemas Caixa,FGTS + funding do agente + recursos próprios,fgts_canal_tab_ao_1_contratos_fgts,Condições contratuais,cod_contrato,tabela lógica citada; objeto raw não confirmado,alta,
Classe Média,financiada,6,Desembolso,Banco recebe registro e libera valor,Caixa,Canal FGTS,FGTS + funding do agente,fgts_canal_tab_ao_2_tab_desembolsos_fgts,Evento financeiro,cod_contrato; data_desembolso,tabela lógica citada; objeto raw não confirmado,alta,
Classe Média,financiada,7,Resultado,Consolida contrato/UH e eventual entrega,Caixa / MCID,Dados abertos MCMV,FGTS,dados_abertos_mcmv_fgts_analitico,Analítico MCMV-FGTS,cod_contrato; cod_empreendimento,tabela lógica citada; objeto raw não confirmado,alta,
FNHIS SUB50,subsidiada — anexo de fronteira,1,Planejamento e seleção,"Publica regras, limites e municípios/propostas selecionados",MCID,TransfereGov + atos oficiais,OGU/FNHIS,novo_mcmv_fnhis_sub_50_propostas_apresentadas | novo_mcmv_fnhis_sub_50_propostas_selecionadas,Propostas e seleção,numero_proposta TransfereGov; IBGE,família SUB50 confirmada no inventário MinIO,alta,
FNHIS SUB50,subsidiada — anexo de fronteira,2,Instrumento,MCID e prefeitura formalizam instrumento de repasse,MCID / prefeitura,TransfereGov,OGU/FNHIS + contrapartida quando houver,FNHIS_SEMANAL_MCID,Situação de proposta/instrumento,numero_proposta; instrumento; CNPJ; IBGE,snapshots raw/sharepoint confirmados,alta,
FNHIS SUB50,subsidiada — anexo de fronteira,3,Obra e pagamento,"Autoriza início, mede, valida e libera parcelas",Prefeitura / Caixa / MCID / construtora,TransfereGov + vistoria Caixa,OGU/FNHIS,—,"Boletim, evidência, parecer e liberação",numero_proposta; instrumento; medição,lacuna estruturada,alta,"O fluxo é centrado no TransfereGov, mas engenharia/vistoria e beneficiários usam outros componentes."
FNHIS SUB50,subsidiada — anexo de fronteira,4,Beneficiários e pós-obra,"Indica, valida, entrega, ocupa e acompanha famílias",Prefeitura / MCID / assistência social,SIGDH + CadÚnico,OGU/FNHIS,cadunico_tab_familia | cadunico_tab_pessoa,Elegibilidade e atualização familiar,NIS/CPF; codigo_familia; IBGE,tabelas lógicas citadas; objetos raw não confirmados,media,Dados pessoais protegidos; usar apenas ambiente autorizado e saída agregada.
Entidades/FDS,subsidiada — anexo de fronteira,1,Seleção e contratação,Seleciona proposta da entidade e converte seleção em contrato,MCID / entidade / Caixa,Processos MCID/Caixa; atos oficiais,FDS + OGU quando previsto,orcamento_resultado_ogu | dados_abertos_mcmv_ogu_beneficiario,Orçamento/beneficiário contratado,contrato; empreendimento; CPF/NIS,tabelas lógicas citadas; objetos raw não confirmados,media,Filtrar a ação/modalidade correta; o nome OGU isolado não identifica Entidades.
Rural/PNHR,subsidiada/financiada — anexo de fronteira,1,Empreendimento e beneficiário,Consolida projeto e famílias atendidas por agente,BB / Caixa / MCID,Sistemas dos agentes,Conforme grupo/modalidade rural,int_empreendimentos_int_057_pnhr_bb_pj | int_empreendimentos_int_065_pnhr_caixa_pj | int_beneficiarios_int_058_pnhr_bb_pf | int_beneficiarios_int_064_pnhr_caixa_pf,"Projeto, status e beneficiário",cod_empreendimento; contrato; CPF/NIS,tabelas lógicas citadas; objetos raw não confirmados,media,Validar coluna de status e vínculo com entrega no esquema real.
