indicador,categoria,fonte,tabela,campos,regra_calculo,granularidade_temporal,granularidade_territorial,periodo_historico,unidade_medida,status_validacao
contratos_faixa2_sbpe,reloginho,raw/fgts_canal_tab_ao_1_contratos_fgts.csv; snapshots gefus_anteriores_base_pf_fgts_*,nao materializado (a definir na silver),contratos por contrato/UF/municipio/faixa,soma de contratos; modelagem gold propria (ingestao incremental) a definir,snapshot/incremental (sem serie historica documentada),nacional; por UF/municipio/faixa/status,snapshot atual; sem serie historica,contratos (contagem),pendente
valor_desembolsado_faixa2_sbpe,reloginho,raw/fgts_canal_tab_ao_2_tab_desembolsos_fgts.csv; raw/fgts_canal_tab_ao_2_tab_execucoes_obras.csv,nao materializado (a definir na silver),desembolso e execucao por contrato,soma de desembolso por contrato/UF/municipio/faixa,snapshot/incremental (sem serie historica documentada),nacional; por UF/municipio/faixa/status,snapshot atual; sem serie historica,R$ (valor desembolsado),pendente
contratos_reforma,reloginho,raw/reforma_casa_brasil_contratacao.csv (consolidada); raw/PMCMV_REFORMAS_MCID_2026_07_31.csv (snapshot SFTP),nao materializado (a definir na silver),contratos por ano/faixa (001/002); vr_evento; vr_investimento,soma de contratos por ano/faixa; consolidada 2025 = 36.647; 2026 = 14.865; snapshot SFTP total = 126.407,agregado por ano/faixa (snapshot),nacional; por UF/municipio a definir,snapshot 31/07/2026 (SFTP) e consolidada 02/03/2026; sem serie historica,contratos (contagem),pendente
valor_financiado_reforma,reloginho,raw/reforma_casa_brasil_contratacao.csv (consolidada); raw/PMCMV_REFORMAS_MCID_2026_07_31.csv (snapshot SFTP),nao materializado (a definir na silver),vr_evento ou vr_investimento (campo oficial pendente),soma do valor financiado por ano/faixa; consolidada 2025 = 531.4 Mi (vr_evento); snapshot SFTP total = 3.06 Bi,agregado por ano/faixa (snapshot),nacional; por UF/municipio a definir,snapshot 31/07/2026 (SFTP) e consolidada 02/03/2026; sem serie historica,R$ (valor financiado),pendente
flag_atraso,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_atraso; status_prazo; dias_atraso; percentual_execucao_fisica; dt_referencia,true quando previsao de conclusao/entrega vencida e execucao fisica menor que 100%; status_prazo indica atraso ou dias_atraso maior que zero,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_paralisacao,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_paralisacao; dias_paralisacao; status_operacional,true quando ha data de paralisacao ou situacao textual contendo paralisacao,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_sem_atualizacao_recente,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_sem_atualizacao_recente; dias_sem_atualizacao,true para obra nao concluida sem liberacao/medicao ha mais de 90 dias ou sem data de atualizacao,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_baixa_execucao_fisica,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_baixa_execucao_fisica; percentual_execucao_fisica; dt_referencia,true quando execucao fisica 10 p.p. abaixo do previsto; previsao vencida sem conclusao; ou contrato com mais de 365 dias abaixo de 30% fisico,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_baixa_execucao_financeira,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_baixa_execucao_financeira; percentual_execucao_financeira; percentual_execucao_fisica; gap_fisico_financeiro_pp,true quando execucao financeira mais de 10 p.p. abaixo da fisica; ou contrato com mais de 365 dias com execucao financeira abaixo de 30%,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_gargalo_financeiro,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_gargalo_financeiro; saldo_contratado_a_desembolsar; percentual_saldo_a_desembolsar; percentual_execucao_fisica; valor_contratado; valor_desembolsado,true quando pelo menos 30% do contrato ainda nao desembolsado e execucao fisica abaixo de 95%,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_contrato_sem_evolucao,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_contrato_sem_evolucao; dias_sem_atualizacao; percentual_execucao_fisica; percentual_execucao_financeira,true quando contrato com mais de 180 dias sem execucao fisica nem financeira,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
flag_entrega_em_risco,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,flag_entrega_em_risco; indicadores_acionados; flag_atraso; flag_paralisacao; flag_baixa_execucao_fisica; flag_sem_atualizacao_recente,true quando empreendimento nao concluido tem atraso; paralisacao; baixa execucao ou falta de atualizacao,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,booleano (true/false),definido_a_validar
score_gargalo + classificacao_gargalo,gargalo,gold mcmv_indicadores.indicadores_gargalo_desempenho (origem golds FAR/FDS),mcmv_indicadores.indicadores_gargalo_desempenho; mcmv_indicadores.resumo_gargalo_desempenho_dashboard,score_gargalo; classificacao_gargalo; indicadores_acionados; flag_atraso; flag_paralisacao; flag_sem_atualizacao_recente; flag_baixa_execucao_fisica; flag_baixa_execucao_financeira; flag_gargalo_financeiro; flag_contrato_sem_evolucao,score = atraso 2; paralisacao 2; sem atualizacao 1; baixa execucao fisica 1; baixa execucao financeira 1; gargalo financeiro 1; contrato sem evolucao 1; classificacao Baixo = 0; Medio = 1-2; Alto = 3-4; Critico >= 5,pontual por dt_calculo (sem serie historica),empreendimento/APF; agregacao nacional/frente/UF/municipio/responsavel,visao pontual do snapshot atual; sem serie historica documentada,score numerico + categorico (Baixo; Medio; Alto; Critico),definido_a_validar
